,Unnamed: 0,Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Min_salary,Max_salary,Average_salary,State
3739,3760,Statistician (Data Scientist) *12 month Roster* *Direct Hire*,"['100', '-', '163', '(Glassdoor', 'est.)']",3.5,"Internal Revenue Service
3.5","Columbus, OH",10000+ employees,1862,Government,Federal Agencies,Government,Unknown / Non-Applicable,100,163,131.5,OH
3740,3761,Quantum Data Scientist (Industrial-Process sector),"['100', '-', '163', '(Glassdoor', 'est.)']",3.7,"IBM
3.7","Columbus, OH",10000+ employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),100,163,131.5,OH
3741,3762,Business Analyst / Data Scientist Manager,"['98', '-', '160', '(Glassdoor', 'est.)']",3.6,"Abbott Laboratories
3.6","Columbus, OH",10000+ employees,1888,Company - Public,Health Care Services & Hospitals,Health Care,$10+ billion (USD),98,160,129.0,OH
3742,3763,Data Scientist III - Neuro,"['98', '-', '160', '(Glassdoor', 'est.)']",3.1,"Battelle
3.1","Columbus, OH",10000+ employees,1929,Nonprofit Organization,Research & Development,Business Services,$5 to $10 billion (USD),98,160,129.0,OH
3744,3765,Healthcare Data Analytics PhD / Sr. Data Scientist,"['98', '-', '160', '(Glassdoor', 'est.)']",4.2,"Emerald Resource Group
4.2","Columbus, OH",1 to 50 employees,1997,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),98,160,129.0,OH
3745,3766,Energetics Engineer (Research Scientist),"['98', '-', '160', '(Glassdoor', 'est.)']",3.1,"Battelle
3.1","West Jefferson, OH",10000+ employees,1929,Nonprofit Organization,Research & Development,Business Services,$5 to $10 billion (USD),98,160,129.0,OH
3746,3767,PhD or Senior Data Scientist - - Healthcare Data Analytics,"['98', '-', '160', '(Glassdoor', 'est.)']",4.2,"Emerald Resource Group
4.2","Columbus, OH",1 to 50 employees,1997,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),98,160,129.0,OH
3747,3768,CCB F&BM - Quantitative Modeling/Data Science Associate,"['98', '-', '160', '(Glassdoor', 'est.)']",3.9,"JPMorgan Chase & Co.
3.9","Columbus, OH",10000+ employees,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),98,160,129.0,OH
3748,3769,Data Analyst,"['98', '-', '160', '(Glassdoor', 'est.)']",2.9,"The Paragon Group
2.9","Columbus, OH",1001 to 5000 employees,1985,Company - Public,Banks & Credit Unions,Finance,$500 million to $1 billion (USD),98,160,129.0,OH
3749,3770,Data Scientist Lead - MANAGING MY CHASE RELATIONSHIP,"['98', '-', '160', '(Glassdoor', 'est.)']",3.9,"JPMorgan Chase
3.9","Columbus, OH",10000+ employees,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),98,160,129.0,OH
3750,3771,Machine Learning Engineer,"['98', '-', '160', '(Glassdoor', 'est.)']",4.5,"Path Robotics
4.5","Columbus, OH",1 to 50 employees,2016,Unknown,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable,98,160,129.0,OH
3751,3772,Data Analyst,"['98', '-', '160', '(Glassdoor', 'est.)']",4.2,"CyberCoders
4.2","Columbus, OH",201 to 500 employees,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),98,160,129.0,OH
3752,3773,NLP Data Scientist { PhD. },"['98', '-', '160', '(Glassdoor', 'est.)']",4.2,"Emerald Resource Group
4.2","Columbus, OH",1 to 50 employees,1997,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),98,160,129.0,OH
3753,3774,Principal Data Scientist- Public Sector,"['98', '-', '160', '(Glassdoor', 'est.)']",3.7,"IBM
3.7","Columbus, OH",10000+ employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),98,160,129.0,OH
3754,3775,Data Analyst,"['98', '-', '160', '(Glassdoor', 'est.)']",2.8,"Data Systems Integration Group Inc
2.8","Columbus, OH",1 to 50 employees,-1,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),98,160,129.0,OH
3755,3776,"Data Scientist for Industrial Image Processing - Columbus, OH","['98', '-', '160', '(Glassdoor', 'est.)']",3.6,"Rosen
3.6","Columbus, OH",201 to 500 employees,-1,Company - Private,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$100 to $500 million (USD),98,160,129.0,OH
3756,3777,Junior Data Analyst,"['98', '-', '160', '(Glassdoor', 'est.)']",5.0,"Staffigo Technical Services, LLC
5.0","Columbus, OH",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),98,160,129.0,OH
3757,3778,"Associate Product Development Scientist - Nutrition - Columbus, OH","['98', '-', '160', '(Glassdoor', 'est.)']",3.6,"Abbott Laboratories
3.6","Columbus, OH",10000+ employees,1888,Company - Public,Health Care Services & Hospitals,Health Care,$10+ billion (USD),98,160,129.0,OH
3758,3779,Quantum Principal Data Scientist (Industrial-Process sector),"['98', '-', '160', '(Glassdoor', 'est.)']",3.7,"IBM
3.7","Columbus, OH",10000+ employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),98,160,129.0,OH
3759,3780,"Specialist, Data Science","['98', '-', '160', '(Glassdoor', 'est.)']",3.6,"Nationwide
3.6","Columbus, OH",10000+ employees,1925,Company - Private,-1,-1,$10+ billion (USD),98,160,129.0,OH
3760,3781,Environmental Scientist/GIS Analyst - Midwest or,"['98', '-', '160', '(Glassdoor', 'est.)']",3.7,"Arcadis UK
3.7","Columbus, OH",1001 to 5000 employees,-1,Company - Public,Construction,"Construction, Repair & Maintenance",Unknown / Non-Applicable,98,160,129.0,OH
3761,3782,Fraud Data Analyst,"['98', '-', '160', '(Glassdoor', 'est.)']",3.5,"Abercrombie & Fitch Co.
3.5","Columbus, OH",10000+ employees,1892,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$2 to $5 billion (USD),98,160,129.0,OH
3762,3783,Data Engineer *,"['98', '-', '160', '(Glassdoor', 'est.)']",3.8,"Root Insurance
3.8","Columbus, OH",501 to 1000 employees,2015,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),98,160,129.0,OH
3763,3784,Soil Scientist (Direct Hire),"['98', '-', '160', '(Glassdoor', 'est.)']",3.1,"Natural Resources Conservation Service
3.1","Columbus, OH",10000+ employees,1935,Government,Federal Agencies,Government,Unknown / Non-Applicable,98,160,129.0,OH
3764,3785,PhD. NLP Data Scientist,"['98', '-', '160', '(Glassdoor', 'est.)']",4.2,"Emerald Resource Group
4.2","Columbus, OH",1 to 50 employees,1997,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),98,160,129.0,OH
3765,3786,Senior Data Scientist,"['98', '-', '160', '(Glassdoor', 'est.)']",3.6,"Kognetics
3.6","Gahanna, OH",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,98,160,129.0,OH
3766,3787,Microsoft Analytics Consultant,"['98', '-', '160', '(Glassdoor', 'est.)']",3.7,"IBM
3.7","Columbus, OH",10000+ employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),98,160,129.0,OH
3767,3788,Business Data Analyst,"['98', '-', '160', '(Glassdoor', 'est.)']",3.9,"DHL
3.9","Westerville, OH",10000+ employees,1969,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,98,160,129.0,OH
3768,3789,"Associate Scientist - Nutrition - Columbus, OH","['98', '-', '160', '(Glassdoor', 'est.)']",3.6,"Abbott Laboratories
3.6","Columbus, OH",10000+ employees,1888,Company - Public,Health Care Services & Hospitals,Health Care,$10+ billion (USD),98,160,129.0,OH
3769,3790,Business Analytics Manager,"['98', '-', '160', '(Glassdoor', 'est.)']",3.9,"DHL
3.9","Lockbourne, OH",10000+ employees,1969,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,98,160,129.0,OH
3770,3791,Staff Scientist,"['98', '-', '160', '(Glassdoor', 'est.)']",3.2,"ASK Chemicals
3.2","Dublin, OH",1001 to 5000 employees,-1,Company - Private,Consulting,Business Services,$100 to $500 million (USD),98,160,129.0,OH
3771,3792,Machine Learning Engineer,"['52', '-', '94', '(Glassdoor', 'est.)']",4.6,"Tiger Analytics
4.6","Columbus, OH",201 to 500 employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),52,94,73.0,OH
3772,3793,Data Analyst,"['52', '-', '94', '(Glassdoor', 'est.)']",4.5,"Beacon Hill Staffing Group
4.5","Columbus, OH",501 to 1000 employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD),52,94,73.0,OH
3773,3794,Quantum Principal Data Scientist (Industrial-Discrete sector),"['52', '-', '94', '(Glassdoor', 'est.)']",3.7,"IBM
3.7","Columbus, OH",10000+ employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),52,94,73.0,OH
3774,3795,Data Scientist for Industrial Image Processing,"['52', '-', '94', '(Glassdoor', 'est.)']",3.6,"ROSEN USA
3.6","Columbus, OH",201 to 500 employees,-1,Company - Private,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$100 to $500 million (USD),52,94,73.0,OH
3775,3796,"Senior Scientist R&D - Nutrition -- Columbus, OH","['52', '-', '94', '(Glassdoor', 'est.)']",3.6,"Abbott Laboratories
3.6","Columbus, OH",10000+ employees,1888,Company - Public,Health Care Services & Hospitals,Health Care,$10+ billion (USD),52,94,73.0,OH
3776,3797,VP - Global Data & Analytics,"['52', '-', '94', '(Glassdoor', 'est.)']",3.5,"Abercrombie and Fitch Co.
3.5","Columbus, OH",10000+ employees,1892,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$2 to $5 billion (USD),52,94,73.0,OH
3777,3798,Data Engineer,"['52', '-', '94', '(Glassdoor', 'est.)']",4.9,"Beam Dental
4.9","Columbus, OH",51 to 200 employees,2012,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,52,94,73.0,OH
3779,3800,"Scientist I, QC Aero Star 1st shift","['52', '-', '94', '(Glassdoor', 'est.)']",3.3,"Hikma Pharmaceuticals USA Inc.
3.3","Columbus, OH",5001 to 10000 employees,1978,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),52,94,73.0,OH
3780,3801,Data Analyst,"['52', '-', '94', '(Glassdoor', 'est.)']",5.0,"Staffigo Technical Services, LLC
5.0","Columbus, OH",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),52,94,73.0,OH
3781,3802,Program Data Analyst,"['52', '-', '94', '(Glassdoor', 'est.)']",2.3,"Economic and Community Development Institute
2.3","Columbus, OH",1 to 50 employees,-1,Nonprofit Organization,Lending,Finance,$5 to $10 million (USD),52,94,73.0,OH
3782,3803,Research Scientist- Center for Gene Therapy,"['52', '-', '94', '(Glassdoor', 'est.)']",3.7,"Nationwide Children's Hospital
3.7","Columbus, OH",10000+ employees,1892,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),52,94,73.0,OH
3783,3804,Senior Data Scientist *,"['52', '-', '94', '(Glassdoor', 'est.)']",3.8,"Root Insurance
3.8","Columbus, OH",501 to 1000 employees,2015,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),52,94,73.0,OH
3784,3805,Bioinformatician Research Scientist,"['52', '-', '94', '(Glassdoor', 'est.)']",3.1,"Battelle
3.1","Columbus, OH",10000+ employees,1929,Nonprofit Organization,Research & Development,Business Services,$5 to $10 billion (USD),52,94,73.0,OH
3785,3806,"(Project Staff) Consultant, Data Engineer","['52', '-', '94', '(Glassdoor', 'est.)']",3.6,"Nationwide
3.6","Columbus, OH",10000+ employees,1925,Company - Private,-1,-1,$10+ billion (USD),52,94,73.0,OH
3786,3807,"Big Data Engineer,Columbus ,OH","['52', '-', '94', '(Glassdoor', 'est.)']",5.0,"Georgia IT Inc.
5.0","Columbus, OH",1 to 50 employees,-1,Company - Private,-1,-1,Less than $1 million (USD),52,94,73.0,OH
3787,3808,Senior Scientist,"['52', '-', '94', '(Glassdoor', 'est.)']",3.7,"UCB
3.7","Slough, OH",5001 to 10000 employees,-1,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),52,94,73.0,OH
3788,3809,Data Scientist - BFSI,"['52', '-', '94', '(Glassdoor', 'est.)']",4.2,"Tephra Inc.
4.2","Columbus, OH",1 to 50 employees,-1,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),52,94,73.0,OH
3789,3810,Microsoft Dynamics CRM Data Analyst,"['52', '-', '94', '(Glassdoor', 'est.)']",3.7,"IBM
3.7","Columbus, OH",10000+ employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),52,94,73.0,OH
3790,3811,Data Analyst-Quality Improvement Services,"['52', '-', '94', '(Glassdoor', 'est.)']",3.7,"Nationwide Children's Hospital
3.7","Columbus, OH",10000+ employees,1892,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),52,94,73.0,OH
3791,3812,"Scientist II, QC Life Cycle","['52', '-', '94', '(Glassdoor', 'est.)']",3.3,"Hikma Pharmaceuticals USA Inc.
3.3","Columbus, OH",5001 to 10000 employees,1978,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),52,94,73.0,OH
3792,3813,Data Analyst,"['52', '-', '94', '(Glassdoor', 'est.)']",4.5,"UNICON International, Inc
4.5","Columbus, OH",1 to 50 employees,-1,Company - Private,-1,-1,$1 to $5 million (USD),52,94,73.0,OH
3794,3815,Marine Biologist Research Scientist,"['52', '-', '94', '(Glassdoor', 'est.)']",3.1,"Battelle
3.1","Columbus, OH",10000+ employees,1929,Nonprofit Organization,Research & Development,Business Services,$5 to $10 billion (USD),52,94,73.0,OH
3795,3816,"Scientist - Nutrition - Columbus, OH","['52', '-', '94', '(Glassdoor', 'est.)']",3.6,"Abbott Laboratories
3.6","Columbus, OH",10000+ employees,1888,Company - Public,Health Care Services & Hospitals,Health Care,$10+ billion (USD),52,94,73.0,OH
3797,3818,"Sr. Data Scientist (Columbus, Ohio)","['52', '-', '94', '(Glassdoor', 'est.)']",4.6,"Tiger Analytics
4.6","Columbus, OH",201 to 500 employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),52,94,73.0,OH
3798,3819,"Data Scientist Lead, Capacity Planning & Analytics","['52', '-', '94', '(Glassdoor', 'est.)']",3.9,"JPMorgan Chase Bank, N.A.
3.9","Columbus, OH",10000+ employees,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),52,94,73.0,OH
3799,3820,Data Engineer,"['52', '-', '94', '(Glassdoor', 'est.)']",5.0,"Finite State
5.0","Columbus, OH",1 to 50 employees,2017,Company - Private,Security Services,Business Services,Unknown / Non-Applicable,52,94,73.0,OH
3800,3821,"Consultant, Telematics Data Engineer","['52', '-', '94', '(Glassdoor', 'est.)']",3.6,"Nationwide
3.6","Columbus, OH",10000+ employees,1925,Company - Private,-1,-1,$10+ billion (USD),52,94,73.0,OH
3801,3822,"Data Analyst III (Population Health , Pharmacy, SQL)","['55', '-', '113', '(Glassdoor', 'est.)']",3.4,"Buckeye Community Health Plan
3.4","Columbus, OH",1001 to 5000 employees,2004,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,55,113,84.0,OH
3802,3823,Sr. Scientist,"['55', '-', '113', '(Glassdoor', 'est.)']",2.9,"CorTech LLC
2.9","Columbus, OH",201 to 500 employees,1999,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),55,113,84.0,OH
3803,3824,Environmental Senior Research Scientist,"['55', '-', '113', '(Glassdoor', 'est.)']",3.1,"Battelle
3.1","Columbus, OH",10000+ employees,1929,Nonprofit Organization,Research & Development,Business Services,$5 to $10 billion (USD),55,113,84.0,OH
3804,3825,Data Engineer,"['55', '-', '113', '(Glassdoor', 'est.)']",3.6,"Kognetics
3.6","Gahanna, OH",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,55,113,84.0,OH
3805,3826,Scientist - Autonomous Robotics in Manufacturing,"['55', '-', '113', '(Glassdoor', 'est.)']",3.8,"UES
3.8","Columbus, OH",201 to 500 employees,1973,Company - Private,Research & Development,Business Services,$50 to $100 million (USD),55,113,84.0,OH
3807,3828,Data Engineer,"['55', '-', '113', '(Glassdoor', 'est.)']",3.9,"State Auto Insurance Companies
3.9","Columbus, OH",1001 to 5000 employees,1921,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),55,113,84.0,OH
3808,3829,Senior Staff Scientist,"['55', '-', '113', '(Glassdoor', 'est.)']",3.5,"Terracon
3.5","Columbus, OH",1001 to 5000 employees,1965,Company - Private,Architectural & Engineering Services,Business Services,$500 million to $1 billion (USD),55,113,84.0,OH
3809,3830,"Principal Data Scientist, Pricing","['55', '-', '113', '(Glassdoor', 'est.)']",3.8,"Root Insurance
3.8","Columbus, OH",501 to 1000 employees,2015,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),55,113,84.0,OH
3810,3831,Data Management & Analytics - Consultant,"['55', '-', '113', '(Glassdoor', 'est.)']",3.4,"Guidehouse
3.4","Columbus, OH",5001 to 10000 employees,2018,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,55,113,84.0,OH
3811,3832,Software Engineer - Data Analyst,"['55', '-', '113', '(Glassdoor', 'est.)']",3.9,"JPMorgan Chase Bank, N.A.
3.9","Columbus, OH",10000+ employees,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),55,113,84.0,OH
3812,3833,Crop Protection Research Scientist,"['55', '-', '113', '(Glassdoor', 'est.)']",3.1,"Battelle
3.1","West Jefferson, OH",10000+ employees,1929,Nonprofit Organization,Research & Development,Business Services,$5 to $10 billion (USD),55,113,84.0,OH
3813,3834,Senior Business Intelligence Data Engineer,"['55', '-', '113', '(Glassdoor', 'est.)']",3.9,"J.P. Morgan
3.9","Columbus, OH",10000+ employees,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),55,113,84.0,OH
3814,3835,Research Scientist - Mammalian Cell Culture,"['55', '-', '113', '(Glassdoor', 'est.)']",3.7,"UCB
3.7","Slough, OH",5001 to 10000 employees,-1,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),55,113,84.0,OH
3815,3836,Research Scientist - Immunology Research,"['55', '-', '113', '(Glassdoor', 'est.)']",3.7,"UCB
3.7","Slough, OH",5001 to 10000 employees,-1,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),55,113,84.0,OH
3816,3837,Principal Scientist - Biomarker Specialist,"['55', '-', '113', '(Glassdoor', 'est.)']",3.7,"UCB
3.7","Slough, OH",5001 to 10000 employees,-1,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),55,113,84.0,OH
3817,3838,Data Engineer,"['55', '-', '113', '(Glassdoor', 'est.)']",4.2,"Eliassen Group
4.2","Columbus, OH",1001 to 5000 employees,1989,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),55,113,84.0,OH
3818,3839,Machine Learning Engineer (OH),"['55', '-', '113', '(Glassdoor', 'est.)']",4.6,"Tiger Analytics
4.6","Columbus, OH",201 to 500 employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),55,113,84.0,OH
3819,3840,"Scientist I, QC Aero Star 3rd Shift","['55', '-', '113', '(Glassdoor', 'est.)']",3.3,"Hikma Pharmaceuticals USA Inc.
3.3","Columbus, OH",5001 to 10000 employees,1978,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),55,113,84.0,OH
3820,3841,Post Doctoral Scientist Year 1-3 - Center for Microbial Pathogen,"['55', '-', '113', '(Glassdoor', 'est.)']",3.7,"Nationwide Children's Hospital
3.7","Columbus, OH",10000+ employees,1892,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),55,113,84.0,OH
3821,3842,Data Engineer For Industrial Image Data,"['55', '-', '113', '(Glassdoor', 'est.)']",3.6,"ROSEN USA
3.6","Columbus, OH",201 to 500 employees,-1,Company - Private,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$100 to $500 million (USD),55,113,84.0,OH
3822,3843,Laboratory Scientist 3,"['55', '-', '113', '(Glassdoor', 'est.)']",3.9,"STATE OF OHIO
3.9","Blacklick, OH",10000+ employees,1803,Government,State & Regional Agencies,Government,Unknown / Non-Applicable,55,113,84.0,OH
3823,3844,Research Scientist - RI Radiology Ho,"['55', '-', '113', '(Glassdoor', 'est.)']",3.7,"Nationwide Children's Hospital
3.7","Columbus, OH",10000+ employees,1892,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),55,113,84.0,OH
3824,3845,"Data Engineer for Industrial Image Data - Columbus, OH","['55', '-', '113', '(Glassdoor', 'est.)']",3.6,"Rosen
3.6","Columbus, OH",201 to 500 employees,-1,Company - Private,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$100 to $500 million (USD),55,113,84.0,OH
3825,3846,Big Data Engineer (OH),"['55', '-', '113', '(Glassdoor', 'est.)']",4.6,"Tiger Analytics
4.6","Columbus, OH",201 to 500 employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),55,113,84.0,OH
3826,3847,"Scientist III, QC Aero Star 2nd Shift","['55', '-', '113', '(Glassdoor', 'est.)']",3.3,"Hikma Pharmaceuticals USA Inc.
3.3","Columbus, OH",5001 to 10000 employees,1978,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),55,113,84.0,OH
3827,3848,Big Data Engineer,"['55', '-', '113', '(Glassdoor', 'est.)']",3.7,"Cognizant
3.7","Columbus, OH",10000+ employees,1994,Company - Public,-1,-1,$10+ billion (USD),55,113,84.0,OH
3828,3849,Data Science Practitioner,"['55', '-', '113', '(Glassdoor', 'est.)']",2.5,"Avacend, Inc.
2.5","Columbus, OH",51 to 200 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,55,113,84.0,OH
3829,3850,Post Doctoral Scientist Yr 1-3- Research Gene Therapy,"['55', '-', '113', '(Glassdoor', 'est.)']",3.7,"Nationwide Children's Hospital
3.7","Columbus, OH",10000+ employees,1892,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),55,113,84.0,OH
3830,3851,Data Analyst Junior,"['55', '-', '113', '(Glassdoor', 'est.)']",5.0,"Staffigo Technical Services, LLC
5.0","Columbus, OH",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),55,113,84.0,OH
3831,3852,IGM - Research Scientist - Rajappa Lab,"['39', '-', '86', '(Glassdoor', 'est.)']",3.7,"Nationwide Children's Hospital
3.7","Columbus, OH",10000+ employees,1892,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),39,86,62.5,OH
3832,3853,Data Engineer,"['39', '-', '86', '(Glassdoor', 'est.)']",4.1,"Kforce
4.1","Columbus, OH",10000+ employees,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),39,86,62.5,OH
3833,3854,Post Doctoral Scientist Year 1-3 RI Mathematical Med Das,"['39', '-', '86', '(Glassdoor', 'est.)']",3.7,"Nationwide Children's Hospital
3.7","Columbus, OH",10000+ employees,1892,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),39,86,62.5,OH
3834,3855,Post Doctoral Scientist - RI Biobehavioral Taylor,"['39', '-', '86', '(Glassdoor', 'est.)']",3.7,"Nationwide Children's Hospital
3.7","Columbus, OH",10000+ employees,1892,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),39,86,62.5,OH
3835,3856,IGM - Post Doctoral Scientist - Rajappa Lab,"['39', '-', '86', '(Glassdoor', 'est.)']",3.7,"Nationwide Children's Hospital
3.7","Columbus, OH",10000+ employees,1892,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),39,86,62.5,OH
3836,3857,Quant Analytics Manager (DAQA07) SALES SCIENCE,"['39', '-', '86', '(Glassdoor', 'est.)']",3.9,"JPMorgan Chase & Co.
3.9","Columbus, OH",10000+ employees,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),39,86,62.5,OH
3837,3858,"Data Engineer - Columbus, OH","['39', '-', '86', '(Glassdoor', 'est.)']",5.0,"Georgia IT Inc.
5.0","Columbus, OH",1 to 50 employees,-1,Company - Private,-1,-1,Less than $1 million (USD),39,86,62.5,OH
3838,3859,Post Doctoral Scientist - Center for Gene Therapy,"['39', '-', '86', '(Glassdoor', 'est.)']",3.7,"Nationwide Children's Hospital
3.7","Columbus, OH",10000+ employees,1892,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),39,86,62.5,OH
3839,3860,Supply Chain Data Modeler,"['39', '-', '86', '(Glassdoor', 'est.)']",3.8,"L Brands
3.8","Columbus, OH",10000+ employees,1963,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),39,86,62.5,OH
3840,3861,Post Doctoral Scientist - Motor Neuron Gene Therapy,"['39', '-', '86', '(Glassdoor', 'est.)']",3.7,"Nationwide Children's Hospital
3.7","Columbus, OH",10000+ employees,1892,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),39,86,62.5,OH
3841,3862,Adjunct Faculty - Advanced Quantitative Research Design and Analysis,"['39', '-', '86', '(Glassdoor', 'est.)']",3.7,"Franklin University
3.7","Columbus, OH",201 to 500 employees,-1,College / University,Colleges & Universities,Education,$50 to $100 million (USD),39,86,62.5,OH
3842,3863,Data Engineer (Enterprise Content Management with FileNet),"['39', '-', '86', '(Glassdoor', 'est.)']",4.0,"JASStek Inc.
4.0","Columbus, OH",1 to 50 employees,2004,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),39,86,62.5,OH
3843,3864,"Data Analyst III (Population Health , Pharmacy, SQL)","['39', '-', '86', '(Glassdoor', 'est.)']",3.4,"Buckeye Community Health Plan
3.4","Columbus, OH",51 to 200 employees,-1,Company - Private,-1,-1,$5 to $10 million (USD),39,86,62.5,OH
3844,3865,Business Data Analyst - I,"['39', '-', '86', '(Glassdoor', 'est.)']",2.5,"Avacend, Inc.
2.5","Hilliard, OH",51 to 200 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,39,86,62.5,OH
3846,3867,Post Doctoral Scientist Year 1 3 Research C/PM Lilly,"['39', '-', '86', '(Glassdoor', 'est.)']",3.7,"Nationwide Childrens Hospital
3.7","Columbus, OH",10000+ employees,1892,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),39,86,62.5,OH
3847,3868,Data Engineer Enterprise Content Management,"['39', '-', '86', '(Glassdoor', 'est.)']",3.9,"Artech LLC
3.9","Columbus, OH",5001 to 10000 employees,1992,Company - Private,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD),39,86,62.5,OH
3848,3869,Research Scientist Sr- RI Deans,"['39', '-', '86', '(Glassdoor', 'est.)']",3.7,"Nationwide Children's Hospital
3.7","Columbus, OH",10000+ employees,1892,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),39,86,62.5,OH
3849,3870,Post Doctoral Scientist - Injury Research & Policy,"['39', '-', '86', '(Glassdoor', 'est.)']",3.7,"Nationwide Children's Hospital
3.7","Columbus, OH",10000+ employees,1892,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),39,86,62.5,OH
